B001,U001,2024-01-05 10:30:00,2024-01-12 15:45:00
B002,U002,2024-01-08 14:20:00,2024-01-22 11:10:00
B003,U003,2024-01-15 09:45:00,2024-01-26 12:25:00
B004,U004,2024-01-20 11:10:00,2024-02-05 09:30:00
B005,U005,2024-01-25 13:20:00,2024-02-01 16:55:00
B006,U006,2024-02-02 08:50:00,2024-02-16 14:40:00
B007,U007,2024-02-05 12:15:00,2024-02-22 10:20:00
B008,U008,2024-02-10 15:30:00,2024-02-25 13:25:00
B009,U009,2024-02-15 09:20:00,2024-02-29 11:35:00
B010,U010,2024-02-20 11:40:00,2024-03-12 16:20:00
B011,U011,2024-03-03 14:25:00,2024-03-20 09:50:00
B012,U012,2024-03-08 10:55:00,2024-03-29 15:15:00
B013,U013,2024-03-15 13:40:00,2024-03-29 12:30:00
B014,U014,2024-03-20 09:10:00,2024-04-06 11:55:00
B015,U015,2024-03-25 12:20:00,2024-04-03 14:45:00
B016,U016,2024-04-01 15:05:00,2024-04-18 09:35:00
B017,U017,2024-04-05 10:40:00,2024-04-17 12:20:00
B018,U018,2024-04-10 13:50:00,2024-04-30 10:15:00
B019,U019,2024-04-15 11:30:00,2024-05-06 13:45:00
B020,U020,2024-04-20 09:15:00,2024-05-02 15:10:00
B021,U021,2024-05-02 12:30:00,2024-05-21 11:20:00
B022,U022,2024-05-05 09:40:00,2024-05-26 14:30:00
B023,U023,2024-05-10 15:20:00,2024-05-31 13:55:00
B024,U024,2024-05-15 10:10:00,2024-06-01 09:25:00
B025,U025,2024-05-20 13:35:00,2024-06-04 11:45:00
B026,U026,2024-06-01 09:25:00,2024-06-22 12:10:00
B027,U027,2024-06-04 11:50:00,2024-06-25 15:30:00
B028,U028,2024-06-09 14:15:00,2024-06-27 10:40:00
B029,U029,2024-06-14 10:30:00,2024-07-07 09:20:00
B030,U030,2024-06-19 12:45:00,2024-07-07 14:15:00
B006,U001,2024-07-20 09:25:00,2024-08-03 12:10:00
B008,U002,2024-08-04 11:50:00,2024-08-25 15:30:00
B010,U003,2024-08-09 14:15:00,2024-08-27 10:40:00
B012,U004,2024-08-14 10:30:00,2024-09-07 09:20:00
B014,U005,2024-08-19 12:45:00,2024-09-11 14:15:00
B016,U006,2024-08-24 15:00:00,2024-09-17 11:10:00
B018,U007,2024-08-29 09:55:00,2024-09-18 13:50:00
B020,U008,2024-09-01 12:35:00,2024-09-19 10:30:00
B022,U009,2024-09-06 14:50:00,2024-09-23 09:45:00
B024,U010,2024-09-11 11:25:00,2024-09-26 15:20:00
B026,U011,2024-09-16 09:40:00,2024-10-04 12:30:00
B028,U012,2024-09-21 13:15:00,2024-10-08 10:15:00
B030,U013,2024-09-26 11:30:00,2024-10-10 13:40:00